n,pid,batch,date,cat,categoria
1,b7744afcd5,desabafos_sonhei,2026-08-03,3,pesadelo_angustia
2,02b305af4b,dreams_2015,2015-12-30,1,onirico
3,4517294e45,r_sonhos,2018-08-14,5,ruido_comercial_spam
4,6b56236e61,dreams_2015,2015-12-29,1,onirico
5,62ed107056,lucid,2026-09-17,7,meta_discussao
6,77b997c007,dreams_recent,2026-09-17,1,onirico
7,2eae8fc5f1,lucid,2026-09-17,1,onirico
8,2ca92d11a0,r_sonhos,2018-08-06,5,ruido_comercial_spam
9,6595e16e52,r_sonhos,2018-02-04,5,ruido_comercial_spam
10,faa022a067,dreams_2015,2015-12-29,1,onirico
11,e0550d9752,dreams_recent,2026-09-17,3,pesadelo_angustia
12,9e2f6e1f07,lucid,2026-09-17,1,onirico
13,7067544db5,dreams_2015,2015-12-27,1,onirico
14,c7f0ec7159,dreams_recent,2026-09-17,3,pesadelo_angustia
15,ebb1144e98,desabafos_sonhei,2026-07-22,6,indecidivel
16,ed75169cad,r_sonhos,2018-04-24,5,ruido_comercial_spam
17,9616f53e1d,lucid,2026-09-17,7,meta_discussao
18,2c755f76c6,r_sonhos,2018-01-15,5,ruido_comercial_spam
19,eeec51c5b6,lucid,2026-09-17,1,onirico
20,edc564a854,r_sonhos,2018-01-09,5,ruido_comercial_spam
21,abab25ded8,desabafos_sonhei,2026-07-12,1,onirico
22,39b396c712,dreams_recent,2026-09-17,3,pesadelo_angustia
23,1a38228606,lucid,2026-09-16,1,onirico
24,86a8c2469b,desabafos_sonhei,2026-07-17,3,pesadelo_angustia
25,4866f56f1d,r_sonhos,2018-04-11,5,ruido_comercial_spam
26,5fc919c229,desabafos_meusonho,2026-09-01,3,pesadelo_angustia
27,f9f1510ac7,r_sonhos,2017-12-11,5,ruido_comercial_spam
28,928398f3c1,desabafos_sonhei,2026-07-06,2,desejo
29,32c1b92b1c,dreams_2015,2015-12-26,1,onirico
30,5c5d3cc94c,dreams_2015,2015-12-29,1,onirico
31,12574679f3,desabafos_meusonho,2026-09-02,1,onirico
32,4acabc73ef,desabafos_meusonho,2026-09-05,2,desejo
33,eb6b3727e2,dreams_2015,2015-12-28,1,onirico
34,d8ed5ccca6,lucid,2026-09-17,1,onirico
35,5129a21398,r_sonhos,2018-02-05,5,ruido_comercial_spam
